Douglas Adams	Q42
Sadakichi Hartmann	Q81807
Giacomo Casanova	Q83321
Ödön von Horváth	Q84455
Hermann Müller	Q68738
Lorenz Diefenbach	Q68421
Martin Zeiler	Q68675
Julius Bab	Q68465
Matt Bondurant	Q212097
Rudolf Erich Raspe	Q213543
Ignaz Heinrich von Wessenberg	Q68798
Gottfried August Bürger	Q213675
Wilhelm Müller	Q57879
Walter Schellenberg	Q57781
Cornelia Funke	Q57971
Georg Herwegh	Q57945
Rudolf Hilferding	Q57848
Gotthelf Fischer von Waldheim	Q57802
Else Lasker-Schüler	Q58033
Johann Peter Eckermann	Q58018
Julius Langbehn	Q68824
Christian Felix Weiße	Q68815
Paris Hilton	Q47899
Zhuangzi	Q47739
Nestor Makhno	Q47900
Werner Schwab	Q84729
Jack Miles	Q45963
John Kasich	Q69319
Nathaniel Hawthorne	Q69339
Gorch Fock	Q69087
Ralph Giordano	Q69094
René Schickele	Q69322
Luise Rinser	Q69178
Curt Goetz	Q69320
Wolf Erlbruch	Q68893
Heinrich Landesmann	Q68987
Ottilie Wildermuth	Q69311
Stephen Booth	Q48379
Ludovico Ariosto	Q48900
Zlata Filipović	Q48354
Afanasy Nikitin	Q48624
Ralph Waldo Emerson	Q48226
Hamed Abdel-Samad	Q48559
José Joaquín Fernández de Lizardi	Q48368
Georg Forster	Q58062
Mikhail Vassilyevich Lomonosov	Q58720
Ahmet Davutoğlu	Q58198
Yehuda Amichai	Q58612
K.R Meera	Q58157
Eugène Ionesco	Q46706
August Becker	Q90666
Tommy Jaud	Q95465
Oskar von Redwitz	Q91175
Elizabeth Kostova	Q239923
Hermann Kurz	Q95193
Johanna von Koczian	Q90057
Oliver Hassencamp	Q90887
Elke Heidenreich	Q91428
Karl Schönherr	Q94707
Florjan Lipuš	Q93955
Paul von Schönthan	Q94047
Karl Bleibtreu	Q95194
P. C. Cast	Q239944
Friedrich Haug	Q91396
Ernst Zitelmann	Q91093
Alexander Moszkowski	Q91288
Alois Brandstetter	Q94604
Tom Seidmann-Freud	Q94577
Gustav Ernst	Q90070
August Friedrich Ernst Langbein	Q91140
Georg Hirth	Q91837
Guido Görres	Q90269
Ludmilla Assing	Q90885
Alois Theodor Sonnleitner	Q94580
Ernst Schnabel	Q90377
Christian Heinrich Postel	Q90787
Tom Shippey	Q95120
Alice Sebold	Q239934
Georges Feydeau	Q49465
Isaak Babel	Q49080
Sally Ride	Q49285
Pierre Clostermann	Q49452
Christopher Hitchens	Q49081
Wolfgang Borchert	Q58799
Boris Strugatsky	Q59054
George Gamow	Q59478
Sylvia Day	Q59441
René Depestre	Q59581
Hartmann Schedel	Q58768
Jan Kochanowski	Q59737
Mario Soldati	Q59210
Gustav Freytag	Q58811
Thea von Harbou	Q58866
Barbara W. Tuchman	Q59112
Diogenes Laërtius	Q59138
Artur Balder	Q59206
Lauren Oliver	Q59152
Adolf Bastian	Q58793
Marcel Arland	Q59076
Janet Evanovich	Q240547
Philippa Gregory	Q240212
Jacqueline Wilson	Q240647
Theodore Sturgeon	Q240253
Kathryn Stockett	Q240515
Maurice Maeterlinck	Q49747
Michel de Ghelderode	Q49746
Monika Maron	Q69679
Pierre Beaumarchais	Q70326
Ferdinand von Schirach	Q69973
Johann Franck	Q69667
Wilhelm Bölsche	Q69727
Amalia von Helvig	Q69439
Johann Gottfried Schnabel	Q69664
Bernard Altum	Q69834
Felix Fabri	Q70147
Robert Gernhardt	Q70300
Hans Sennholz	Q69823
Johann Uz	Q69951
Friedrich Wilhelm Rüstow	Q69452
Bernhard von Cotta	Q70211
Per Petterson	Q70155
Joseph Hubert Reinkens	Q70236
Nikolaus Becker	Q69698
Wolfgang Leonhard	Q70215
Peter Scholl-Latour	Q69430
Albert Knapp	Q70265
Kondraty Ryleyev	Q49509
Eckhart Tolle	Q60137
E. L. James	Q59896
Marie-Louise von Franz	Q60236
Conrad Gessner	Q60116
Albertus Magnus	Q60059
Friedrich Wilhelm Joseph Schelling	Q60070
Hannah Arendt	Q60025
Johannes Trithemius	Q60178
Alexander Alexandrovich Fadeyev	Q60128
Wilhelm Marr	Q60312
Orhan Pamuk	Q241248
Bret Easton Ellis	Q241583
Robert Charles Wilson	Q240786
Janet Frame	Q241215
Andrea Dworkin	Q241398
R. Scott Bakker	Q241615
Anand Yadav	Q55713
Rachel Caine	Q241714
Dino Buzzati	Q242095
Jacqueline Susann	Q241903
Pierre de Ronsard	Q49752
Ludwig Fels	Q49721
Otto Willi Gail	Q49714
Roger Nimier	Q49637
Karl Joseph Simrock	Q70350
Herbert Achternbusch	Q45221
Karl Valentin	Q45255
Ernst von Wildenbruch	Q45337
Konrad Bayer	Q45336
William Wordsworth	Q45546
Kitarō Nishida	Q45125
Alfred Polgar	Q45287
Franz Xaver Kroetz	Q45239
Helmut Qualtinger	Q45233
Ludwig Thoma	Q45309
Harald Lesch	Q45321
Peter Turrini	Q45272
Dennis M. Ritchie	Q45575
H. C. Artmann	Q45250
Ferenc Faludi	Q45121
John Lyly	Q261627
Lilian Jackson Braun	Q262561
Tanith Lee	Q261962
Samuel Fuller	Q262479
Meera Syal	Q261981
Amy Sedaris	Q262170
Penelope Lively	Q262274
Karl Heinrich Ulrichs	Q60318
Jakob Wassermann	Q60369
Maria Dąbrowska	Q242423
Catherine Lucile Moore	Q242530
Jane Jensen	Q242613
Bohumil Hrabal	Q242130
Naomi Novik	Q242643
Elizabeth Goudge	Q242571
Marianne Fredriksson	Q242166
Vonda N. McIntyre	Q242162
Ivana Trump	Q242351
Elizabeth Strout	Q262712
Naja Marie Aidt	Q262962
Joan Aiken	Q263648
Jennifer Egan	Q264283
Vera Panova	Q262850
Eva Ibbotson	Q265603
Marie Corelli	Q263254
Keri Hulme	Q263613
Gillian Rubinstein	Q263599
Fumiko Enchi	Q264247
Simon Rich	Q262997
Ana Maria Machado	Q263552
Simin Daneshvar	Q263807
Joanna Russ	Q265270
Monique Wittig	Q263201
Ken Kesey	Q244390
Charles Reade	Q247473
Antonia Fraser	Q242796
Rita Mae Brown	Q242956
Anthony Boucher	Q246303
Elizabeth Moon	Q243027
Richard David Bach	Q245407
Victor Pelevin	Q246722
Sigrid Combüchen	Q243066
José Sarney	Q244997
Robert Hugh Benson	Q246953
John Stuart Mill	Q50020
Peter Brook	Q49760
Randy Pausch	Q49828
Jacques Maritain	Q45723
Margery Allingham	Q266205
Holly Black	Q266173
Sujata Massey	Q266187
Risa Wataya	Q266984
Mary Norton	Q265756
Ivar Lo-Johansson	Q267242
Pat Cadigan	Q266947
José María Arguedas	Q266816
Zélia Gattai	Q247526
James Blish	Q248867
Arthur Hailey	Q249544
Frederick Forsyth	Q249197
Lajos Zilahy	Q267769
Patrick Moore	Q268024
Mary McCarthy	Q268147
Penelope Fitzgerald	Q267748
Ben Hecht	Q267441
Alain-René Lesage	Q267962
Joan D. Vinge	Q268371
Marlo Morgan	Q268254
Joan Didion	Q267691
Chuck Palahniuk	Q268181
Carl Einstein	Q66282
Adolf Stern	Q76023
Joseph Meyer	Q76183
Emil Adolf Rossmässler	Q76238
Yashawant Dinkar Phadke	Q68295
Louis Angely	Q76070
Bruno Snell	Q67515
Simon Paulli	Q67494
Brian Greene	Q60815
Carl Sternheim	Q61662
Marius von Mayenburg	Q65168
Botho Strauss	Q60955
August Stramm	Q61657
Bertha Pappenheim	Q61178
Giovanni Comisso	Q51186
Wolfgang Hildesheimer	Q51510
Behramji Malabari	Q45979
Strabo	Q45936
Jacob Cats	Q46151
Martin J. Sherwin	Q45811
Czesław Miłosz	Q45970
Edward Bunker	Q250539
Guy Boothby	Q252307
Peter George	Q251038
Rosemary Sutcliff	Q254215
Olga Tokarczuk	Q254032
Marilynne Robinson	Q253926
S. D. Perry	Q252896
Margaret Millar	Q268829
David Mamet	Q269927
Faye Kellerman	Q268466
Patricia A. McKillip	Q268755
Anita Desai	Q268495
Leon Uris	Q269129
Kai Meyer	Q76310
Rainald Goetz	Q76258
Ulrike Schweikert	Q76296
Benjamin Schmolck	Q76303
Otto Erich Hartleben	Q76279
Jochen Klepper	Q76329
Wolfgang Benz	Q76372
Gudrun Pausewang	Q76335
Charles Bukowski	Q76409
Wilhelm Ostwald	Q12658
Candace Bushnell	Q254820
Donna Tartt	Q255339
Pam Muñoz Ryan	Q257121
Trudi Canavan	Q256821
Madeleine L'Engle	Q257261
Lucius Shepard	Q256959
Ayako Miura	Q256177
Rosamunde Pilcher	Q254240
Richard K. Morgan	Q254635
Herbjørg Wassmo	Q255359
Susanna Kaysen	Q257723
Nalo Hopkinson	Q270204
Juliette Adam	Q270617
Lauren Kate	Q270199
Duong Thu Huong	Q269992
Kathy Acker	Q270641
Patricia Highsmith	Q270635
P. D. James	Q270648
Marina Lewycka	Q270487
Susan Hill	Q269982
Jean Jaurès	Q12688
Robert Baden-Powell, 1st Baron Baden-Powell	Q12665
Nitobe Inazō	Q12696
Sandra Brown	Q258096
Anna Sewell	Q258741
Caroline Graham	Q258431
Frances Burney	Q259530
Eleanor Farjeon	Q258669
Ouida	Q258001
Azar Nafisi	Q258753
Anchee Min	Q259096
Kage Baker	Q259888
Siri Hustvedt	Q259543
Eudora Welty	Q259364
Carol Shields	Q259956
Alexandra Ripley	Q259653
Madame d'Aulnoy	Q260006
Mary Stewart	Q271111
Elif Şafak	Q270739
Edgar Wallace	Q271824
Gwendolyn Brooks	Q270715
Aleksandr Kuprin	Q271457
Tana French	Q271423
Anne B. Ragde	Q271494
Ibn Arabi	Q46420
Bjørnstjerne Bjørnson	Q46405
Lance Tingay	Q12747
William Auld	Q12795
Kazimierz Bein	Q12749
Johann Amos Comenius	Q12735
Johann Martin Schleyer	Q12712
Geraldine Brooks	Q260011
Kate Wilhelm	Q260560
K. A. Applegate	Q260730
Catherine Asaro	Q260054
Nancy Mitford	Q260026
Pat Murphy	Q271973
Dorrit Willumsen	Q271825
Frances Trollope	Q271961
Dean Koontz	Q272076
Marilyn French	Q271931
Ted Hughes	Q272194
Diana Gabaldon	Q272492
Cormac McCarthy	Q272610
Barbara Pym	Q272585
Anita Loos	Q272088
Jorge Camacho	Q12862
Ba Jin	Q13005
Sándor Szathmári	Q13017
Probal Dasgupta	Q12817
Baldur Ragnarsson	Q12951
Daniel Tammet	Q12857
Sonja Lang	Q12854
Boris Kolker	Q12833
Gerrit Berveling	Q12883
Humphrey Tonkin	Q12898
Georgette Heyer	Q272706
Joy Chant	Q272748
Kate Atkinson	Q272622
Alison Lurie	Q272638
Laurie R. King	Q272794
Kazuo Ishiguro	Q272855
Susan Elizabeth Phillips	Q272767
Josephine Tey	Q261521
Eric Rücker Eddison	Q260982
Nélida Piñon	Q260893
Will Self	Q261054
John Howard Griffin	Q260879
Colette Audry	Q52249
Emma Donoghue	Q52255
RZA	Q52447
Phaedrus	Q52166
Ales Adamovich	Q52488
Lope de Rueda	Q52206
Tivadar Soros	Q13020
Simon Jenko	Q15803
Juana Manuela Gorriti	Q14077
Aleksander Griboyedov	Q15001
Richard Strauss	Q13894
Raymond Schwartz	Q13019
Michelle Obama	Q13133
Jean-Baptiste Say	Q13513
Fran Levstik	Q15800
John Frederick William Herschel	Q14278
Dragotin Kette	Q15806
Tina Fey	Q14540
Leopold Friedrich Günther von Goeckingk	Q98454
Hanns-Josef Ortheil	Q98311
Judith Schalansky	Q98434
Christian Wagner	Q98560
Julius Stettenheim	Q98750
John Wilson Croker	Q320849
Semir Zeki	Q320877
Eduard Paulus	Q98794
Adelbert Heinrich von Baudissin	Q98452
Marie Petersen	Q98409
Karl Heinz Bohrer	Q98370
Dietmar Dath	Q98782
Rudolf Kleinpaul	Q98934
Alma Rogge	Q99017
John of Damascus	Q51884
Robert Pinget	Q123389
Falk Richter	Q125957
Mary O'Hara	Q273077
Charles Perrault	Q128460
Evangeline Walton	Q273105
Lucy Maud Montgomery	Q273034
Agota Kristof	Q123216
Leslie Marmon Silko	Q273001
Charles-Ferdinand Ramuz	Q123635
Melchior de Vogüé	Q16053
Jože Javoršek	Q15909
Fritz Mauthner	Q15953
Henry David Thoreau	Q131149
Alexander Dovzhenko	Q55198
Ivan Yefremov	Q54828
Michael Powell	Q55234
Carl Bildt	Q52922
Jean Ferrat	Q54885
Peter Greenaway	Q55282
Marià Vayreda i Vila	Q54215
Mo Hayder	Q53672
Pupi Avati	Q55435
Vijay Tendulkar	Q55744
Hergé	Q52985
Arkady Fiedler	Q55723
Hari Narayan Apte	Q55687
Ralf König	Q52566
François Truffaut	Q53002
Michelangelo Antonioni	Q55433
Neil Jordan	Q55428
Kedar Joshi	Q55704
Vishwas Patil	Q55680
Nicholas Lens	Q321031
Aka Morchiladze	Q321372
Andrew Taylor	Q321181
Don Marquis	Q321378
Andrew Harman	Q320940
Adam Krzemiński	Q321302
Robert Rankin	Q321466
Samuel Shem	Q321071
Bruce Lee	Q16397
Leonard Nimoy	Q16345
Steve Martin	Q16473
Tristan Tzara	Q16409
Esther David	Q16383
Malala Yousafzai	Q32732
William Taubman	Q32678
Anselme Gaëtan Desmarest	Q33528
Stanisław Orzechowski	Q33641
Sarah Kay	Q32931
Ettore Romagnoli	Q32862
Teofilo Folengo	Q32833
Sima Guang	Q33566
Bertrand Russell	Q33760
Fran Lebowitz	Q32709
Marcel Jacques Boulenger	Q33758
Yukio Mishima	Q134456
Derek Walcott	Q132701
Truman Capote	Q134180
Ivan Bunin	Q46602
Vsevolod Solovyov	Q16996
Donald Knuth	Q17457
Juan Carlos Onetti	Q16873
Bruno Schulz	Q148886
Anthony van Dyck	Q150679
Paul Éluard	Q152176
Marguerite Duras	Q153248
Amos Oz	Q151872
George Tabori	Q152301
Susan Sontag	Q152824
Du Fu	Q33772
Martin P. Nilsson	Q321959
Björn Hellberg	Q322916
Dale Brown	Q323353
Philip James Bailey	Q324158
John Whiting	Q323060
Christian Cay Lorenz Hirschfeld	Q321679
David Feintuch	Q326176
Panos Karnezis	Q322389
William Smellie	Q322794
Edward Baines	Q324276
Lewis Spence	Q325589
Martin Millar	Q325531
Abner Weyman Colgate	Q322546
Miroslav Krleža	Q325428
Dom Moraes	Q321574
Berkeley Breathed	Q322369
Ivor Gurney	Q323048
Paul Kay	Q322713
A. D. Hope	Q325890
Bernard MacLaverty	Q324856
Hanif Kureishi	Q325936
Thøger Larsen	Q323530
Sappho	Q17892
Stephen Hawking	Q17714
Primo Levi	Q153670
Stephen Sondheim	Q153579
Paul Celan	Q153905
Carl David af Wirsén	Q47088
Ennius	Q47130
Octavio Paz	Q46739
Chetan Bhagat	Q46926
Augusta Victoria of Schleswig-Holstein	Q161247
Italo Calvino	Q154756
Georg Büchner	Q154014
Zbigniew Herbert	Q161363
Lucretius	Q47154
Eduard Uspensky	Q18066
Joachim du Bellay	Q18420
Nadija Hordijenko Andrianova	Q18396
Joseph E. Stiglitz	Q18430
William Bonner	Q18314
William Bartram	Q18243
Julian	Q33941
Max Maria von Weber	Q75683
Alfred Rosenberg	Q75849
Hans Baumann	Q75805
Douglas William Jerrold	Q327049
Aziz Nesin	Q327261
Robert Long	Q326291
Friedrich Hölderlin	Q75889
Horst Möller	Q75726
Felix Hausdorff	Q75856
Peter Huchel	Q75883
Carl Grunert	Q75775
Arnold Zweig	Q75868
Norbert Elias	Q75812
Norbert Jacques	Q75835
G. A. Kulkarni	Q75746
Kiran Nagarkar	Q327181
Thomas Brussig	Q75831
Musa Cälil	Q326766
Sergey Snegov	Q326855
Ferdinand Lassall	Q75784
Hartmann von Aue	Q75852
Juan Antonio Pérez Bonalde	Q163285
Carlo Goldoni	Q165534
Peter Morwood	Q164680
Zaynab Alkali	Q167832
William Alcott	Q164015
Zbigniew Brzezinski	Q168041
James Clavell	Q316802
Jack Williamson	Q316788
Mateo Alemán	Q316616
Almeida Garrett	Q316806
Petronius	Q47180
Vitruvius	Q47163
Condoleezza Rice	Q47216
Gottfried Benn	Q57277
Gotthold Ephraim Lessing	Q34628
Torquato Tasso	Q168962
Fernando Pessoa	Q173481
Robert Hartig	Q76004
Irina Korschunow	Q76171
Wolfgang Jeschke	Q76134
Berta Behrens	Q75922
Robert Christian Avé-Lallemant	Q75932
Caroline von Wolzogen	Q75960
Luise Mühlbach	Q76117
Osamu Dazai	Q317685
Greg Bear	Q317491
Ira Levin	Q317631
Marcel Aymé	Q318026
Pat Barker	Q61198
Alfred Andersch	Q60851
Georg Heym	Q61601
Wilhelm Raabe	Q60647
Ricarda Huch	Q60785
Heinz G. Konsalik	Q60753
Markus Zusak	Q61522
Thomas De Quincey	Q317160
Leonardo Sciascia	Q317142
Jorge de Montemor	Q317200
Harlan Coben	Q318099
Anthony Trollope	Q318399
Ross Macdonald	Q318297
Abel Botelho	Q318390
Ingo Schulze	Q66213
Rolf Dieter Brinkmann	Q66950
Heinrich Zschokke	Q66207
Zsuzsa Bánk	Q67504
Stefan Andres	Q68036
Uwe Timm	Q61629
Hans Hellmut Kirst	Q63837
Peter Berling	Q64577
Uwe Tellkamp	Q62892
Ingrid Noll	Q63011
James Doohan	Q318412
Ian Rankin	Q318431
Abel Hermant	Q318440
Edward Bulwer-Lytton	Q318462
James Ellroy	Q318487
Benjamin Franklin	Q34969
Ptolemy	Q34943
Eric Hobsbawm	Q34933
Friedrich Engels	Q34787
Philipp Melanchthon	Q76325
Elizabeth von Arnim	Q76189
Juli Zeh	Q76324
Paul Gerhardt	Q76331
Marcel Beyer	Q76211
Wolfram Fleischhauer	Q76284
Kai Hermann	Q76350
Rainer M. Schröder	Q76312
Terry Brooks	Q318845
Neale Donald Walsch	Q318860
Peter Ackroyd	Q319169
Carl von Clausewitz	Q76430
Siegfried Lenz	Q76412
Jakob Michael Reinhold Lenz	Q76417
Kathrin Schmidt	Q76429
Arnold Stadler	Q76370
Ludwig Bemelmans	Q76414
Ludwig Feuerbach	Q76422
Zinaida Gippius	Q61940
Brandon Thomas	Q177328
W. H. Auden	Q178698
Kelley Puckett	Q174580
Sebastian Klonowic	Q176756
Jean Anouilh	Q179025
Jonas Bretkūnas	Q177962
Hans Peter Richter	Q71624
Toni Morrison	Q72334
Sibylle Berg	Q71618
Eduardo Mendoza Garriga	Q72541
Danielle Steel	Q72653
Henry Winterfeld	Q71714
Sait Faik Abasıyanık	Q319461
John Fante	Q319746
Jerzy Kosiński	Q319447
Richard Wright	Q319820
China Miéville	Q319196
Lisa Smedman	Q180002
Kareem Abdul-Jabbar	Q179051
Bonaventure	Q43746
Georg Queri	Q43822
Anne Enright	Q73176
Craig Ferguson	Q72867
Patrick Kavanagh	Q73418
Sybille Bedford	Q72705
Roddy Doyle	Q73506
Oliver Wendell Holmes	Q319829
Austin Clarke	Q320358
Richard Preston	Q320884
Eric Malpass	Q320507
William Hill Brown	Q321731
Nick McDonell	Q320573
Abha Dawesar	Q320497
John Maddox Roberts	Q320664
Douglas Coupland	Q322060
Franz von Paula Schrank	Q62046
Julia Franck	Q62038
Karoline von Günderrode	Q62053
Theodor Körner	Q62344
Abd-ru-shin	Q61980
Johann Heinrich Voss	Q62188
August von Platen-Hallermünde	Q62432
Augustus, Duke of Saxe-Gotha-Altenburg	Q62262
Henryk Rzewuski	Q61971
John Henry Mackay	Q62258
Ulrich Plenzdorf	Q62334
Wolfgang Hohlbein	Q61994
Walter Moers	Q62073
Marie Luise Kaschnitz	Q62365
Edna St. Vincent Millay	Q62134
Eugen Drewermann	Q62000
Michael Collins	Q3308121
Richard Matheson	Q325130
Robert Clark Young	Q322859
George Clayton Johnson	Q325422
Andrew J. Offutt	Q325664
Nuruddin Farah	Q323344
Philippe Sollers	Q324944
Dmitry Merezhkovsky	Q326459
Leo I	Q43954
Anselm of Canterbury	Q43939
Jérôme Ferrari	Q43872
Maurus Lindemayr	Q43877
Matt Groening	Q43994
Hesiod	Q44233
Jan Hus	Q43977
Carl Merz	Q43866
Athanasius of Alexandria	Q44024
Cyril of Alexandria	Q44079
Peter Handke	Q44107
Sean Penn	Q44221
Helmuth von Moltke the Elder	Q44205
André-Joseph Léonard	Q43927
William of Ockham	Q43936
Carl Orff	Q44086
Richard David Precht	Q44040
André Bellessort	Q75059
Isaac Bashevis Singer	Q75612
Heinrich Frauenlob	Q62702
Ludwig Büchner	Q62831
Walter Kaufmann	Q62977
Friedrich Hoßbach	Q62731
Stefanie Zweig	Q62680
Akif Pirinçci	Q62742
Georg Ebers	Q62765
Jakob Andreae	Q62754
E. Marlitt	Q62950
Heinrich Leopold Wagner	Q62880
Walter Hasenclever	Q62628
Paul Scheerbart	Q62435
Gertrud von Le Fort	Q62798
Leopold Schefer	Q62805
Hans F. K. Günther	Q62757
Ernst Gottlieb von Steudel	Q62821
Gilbert Sorrentino	Q326773
Tim Winton	Q327526
Pramoedya Ananta Toer	Q326935
Yaşar Kemal	Q327142
Philip Ardagh	Q327186
Afonso Arinos	Q327204
Joseph Furphy	Q327500
Heinrich Mann	Q76480
Karl Kraus	Q44328
Jerome	Q44248
Adolf Loos	Q44323
Basil of Caesarea	Q44258
Terry Moore	Q327711
A. R. Gurney	Q328627
Harry Thompson	Q328745
Brian Freemantle	Q329814
Raduan Nassar	Q332216
Thomas Hughes	Q332580
John M. Ford	Q328949
Eric Frank Russell	Q329999
Abraham Cahan	Q329854
Nick Sagan	Q329743
Abraham Grace Merritt	Q330376
Donald G. Payne	Q331593
Veronica Roth	Q328212
Hjalmar Söderberg	Q331845
Jennifer Weiner	Q328338
Tom Reamy	Q328550
Murō Saisei	Q331339
John Buchan	Q333004
Katai Tayama	Q332975
R. L. Stine	Q333123
Daniel Pennacchioni	Q332689
Hilary of Poitiers	Q44344
Maria Barbal	Q431213
Ephippus of Olynthus	Q433852
Rachel Pollack	Q434138
Traci Harding	Q434785
Mary Rodgers	Q435135
Mara Bar-Serapion	Q433332
Andy McNab	Q433597
Marc Camoletti	Q430596
Derek Goodwin	Q429328
Andrew Keen	Q430276
Ellen Niit	Q432811
Laura Joh Rowland	Q433585
Antony Sher	Q432362
Mirosław Nahacz	Q432900
Jennifer Michael Hecht	Q433913
Aidan Chambers	Q403877
Paula Vogel	Q433987
Egron Lundgren	Q426033
Julia Quinn	Q432945
Stefan Themerson	Q433483
Katarina von Bredow	Q433905
Hermann Usener	Q63078
Ilija Trojanow	Q63309
Martin Chemnitz	Q63146
Robert Spaemann	Q63338
Maximilian Harden	Q63411
Albrecht Thaer	Q63032
Marieluise Fleißer	Q62985
Angela Sommer-Bodenburg	Q63193
Waldemar Bonsels	Q63055
Wilhelmine Schröder-Devrient	Q63238
Hans Henny Jahnn	Q63054
Friedrich Gerhard Rohlfs	Q63209
Velimir Khlebnikov	Q35733
David Turashvili	Q35717
Robert Sheckley	Q333246
Su Shi	Q36020
Omar Khayyám	Q35900
Ho Chi Minh	Q36014
Alter Drujanow	Q437809
Ben Elton	Q436712
Samuel R. Delany	Q438164
Louis Couperus	Q437798
Neil Miller	Q436849
Elizabeth Marshall Thomas	Q435615
Barbara Taylor Bradford	Q437224
Natalka Sniadanko	Q435503
Theodor Fontane	Q76632
Alfred Szklarski	Q438774
Roberto Payró	Q438924
R. F. Delderfield	Q438569
Andrew Mango	Q439283
Suze Rotolo	Q439920
Keri Smith	Q438720
Francine Rivers	Q439292
Téa Obreht	Q439226
Fritz Reuter	Q76492
Hans Fallada	Q76539
Paul Heyse	Q76487
Stefan Heym	Q76534
Peter Benchley	Q333251
C. P. Snow	Q333575
Angelus Silesius	Q60469
Wilhelm Heinrich Wackenroder	Q60576
Georg Kaiser	Q60477
Christian Fürchtegott Gellert	Q60584
Gustav Nachtigal	Q60549
Karl Gutzkow	Q76755
Jean Paul	Q77079
Bernhard Schlink	Q76699
Rafik Schami	Q76949
Christian Friedrich Henrici	Q60613
Ansel Adams	Q60809
Alexander Kluge	Q60637
Johannes Valentinus Andreae	Q60854
Friedrich Rückert	Q60644
C. W. Ceram	Q60817
Günter Eich	Q60869
Rolf Hochhuth	Q60820
Curt Siodmak	Q77489
Joseph Freiherr von Eichendorff	Q77204
Bernhard Kellermann	Q77226
Martin Mosebach	Q78003
Chico Buarque	Q333632
Lee Child	Q333719
Lin Yutang	Q334086
Raymond Radiguet	Q333615
Andrea Camilleri	Q334219
Andreas Markusson	Q44446
Garcilaso de la Vega	Q334711
R. K. Narayan	Q334252
Hugh Thomas	Q335150
Amitav Ghosh	Q336125
Mickey Spillane	Q336081
Charles Nodier	Q336010
E. L. Doctorow	Q335232
Julian Fellowes	Q336018
Elmore Leonard	Q336519
Aboutorab Khosravi	Q336093
John Cheever	Q336151
Christian Dietrich Grabbe	Q61091
Christian Friedrich Daniel Schubart	Q61251
Abraham a Sancta Clara	Q61137
Peter Hacks	Q61194
Erich Neumann	Q61171
Martin Opitz	Q60946
Judith Hermann	Q60984
Sebastian Münster	Q61073
Günther Anders	Q60884
Walter Benjamin	Q61078
Vladimir II Monomakh	Q60928
Frank Schätzing	Q61220
Klabund	Q61263
Walter Scott	Q79025
Kenzaburō Ōe	Q80095
Francesco Guicciardini	Q44601
Christian Morgenstern	Q44652
Otfried Preußler	Q44647
Leonard Mlodinow	Q44646
Stefan Zweig	Q78491
Arthur Koestler	Q78494
Waris Dirie	Q78644
Gustav Meyrink	Q78511
Denis Johnson	Q340016
Kevin J. Anderson	Q339577
Thomas Burnett Swann	Q346490
Osman Lins	Q346790
Jason Starr	Q343554
Kenneth Roberts	Q346729
J. R. Moehringer	Q345764
Achmed Abdullah	Q340550
Talbot Mundy	Q344080
Richard Condon	Q344955
Peter Lerangis	Q346805
Joe Haldeman	Q347461
Charles Warren Stoddard	Q344616
Edogawa Ranpo	Q347412
Panait Istrati	Q344179
Rafael Sabatini	Q345104
José Milla y vedaurre	Q345845
Eduardo Galeano	Q44575
Tiziano Terzani	Q44534
Ric Flair	Q44546
Hans Magnus Enzensberger	Q44584
Irving Stone	Q337103
DBC Pierre	Q336565
Melvyn Bragg	Q336881
Rex Stout	Q337351
Prince Maximilian of Wied-Neuwied	Q61282
Elisabeth of the Palatinate	Q61389
Wolfhart Pannenberg	Q61374
Johann Arndt	Q61359
Albrecht Behmel	Q61325
D. T. Suzuki	Q44847
Michael Hastings	Q44706
Konstantin Simonov	Q44695
Johann Nestroy	Q44862
Miguel Torga	Q44851
Peter Sloterdijk	Q44845
Carl Amery	Q44839
Christoph Schönborn	Q44747
Ernst Jandl	Q44775
Vicco von Bülow	Q44736
Kenneth Cook	Q339196
Douglas Hurd	Q337375
William S. Baring-Gould	Q337355
Kurd Lasswitz	Q61453
Theodor Lessing	Q61446
Walter Kempowski	Q61408
Johanna Schopenhauer	Q61440
Ferdinand Gregorovius	Q61425
Felix Dahn	Q61456
David Heinrich Müller	Q85934
Adam Haslett	Q349692
Philip Ridley	Q349619
Raymond E. Feist	Q350404
Adam Fawer	Q349306
Otto Binder	Q350153
Simon Brett	Q350165
Juhani Aho	Q348623
Ilya Ehrenburg	Q348497
Richard Paul Russo	Q350094
Walt Morey	Q348115
James Hadley Chase	Q347912
H. G. Francis	Q85592
Walter Janssen	Q85877
Friedrich Kaiser	Q85121
Reinhold Stecher	Q85183
Ernst von Wolzogen	Q85414
Milo Dor	Q85832
Rudolf Lindau	Q85309
Wilhelm Creizenach	Q85429
Erika Mann	Q61597
Erich Mühsam	Q61722
Hans Staden	Q61580
Ludwig Renn	Q61585
Arkady Strugatsky	Q61699
Uwe Johnson	Q61627
Nikolaus Pevsner	Q61682
Petra Reski	Q95610
Peter Altenberg	Q44972
John R. Neill	Q45111
Romano Guardini	Q44872
Venantius Fortunatus	Q44934
Ulrich Karger	Q45037
Ferdinand Raimund	Q45025
Cyril of Turaw	Q45087
Sebastian Kneipp	Q45075
Adam Roberts	Q350734
Gerald Gardner	Q350708
Dalton Trumbo	Q350666
Robert T. Bakker	Q352107
Robin Cook	Q352059
Vladimir Bartol	Q351683
Walter Pater	Q352528
